,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,Wine Year
4508,4508,US,"With a majority of Pommard clone in this wine contributing to its undeniable breadth and depth, this rich, rewarding wine will benefit from further time in bottle. Sultry baking spice accents kirsch and strawberry, with understudies of tar, rose garden and tannin, all framed by moderate acidity. Cellar through 2023.",Single Vineyard Reserve,96,90.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Donum 2013 Single Vineyard Reserve Pinot Noir (Russian River Valley),Pinot Noir,Donum,2013
4509,4509,US,"Floral in aromas and yet darkly savory in cherry and clove, this full-bodied wine holds layered acidity and balanced oak at its core. It hails from one block of the vineyard and spent time in entirely new French oak. Baked raspberry tart finds a happy companion in the richness of maple and velvety tannin. Drink now through 2024.",Paige's Ridge,96,115.0,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2014 Paige's Ridge Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,2014
4510,4510,US,"The Heintz Vineyard is on the outskirts of the AVA, really pushing toward the coast, with the expected cool-climate characteristics of fresh acidity and complex, savory tones. This wine wows in every way, from its notes of exotic coconut meat and apple pie to its tang of Meyer lemon, all accented by bergamot and anise. The spice rides a wave of body and length toward the finish, alongside an unmistakable streak of minerality. Hold through 2024.",Heintz Vineyard,96,58.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2014 Heintz Vineyard Chardonnay (Russian River Valley),Chardonnay,Williams Selyem,2014
4511,4511,US,"Oh to have neighbors like these, bringing together several vineyard sites along this coveted stretch of the appellation. This bottling shows full-bodied richness and minerality dotted in a rose garden of pretty aromas and flavors. It's the silky-smooth texture that's most memorable, accented in earthy black tea and subtle oak tones.",Westside Road Neighbors,96,69.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Williams Selyem 2014 Westside Road Neighbors Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,2014
4512,4512,US,"A stunning range of black sage, fresh bay leaf, hearty mulberry, exotic cinnamon, raw beef and baking spice converge for a rugged yet pretty nose on this bottling from a vineyard planted in 1975. Elderberry and elderflower show on the sip, as do beet juice, dried ginger, crushed rocks, potting soils and a concentrated potpourri of purple flowers.",Jensen,96,88.0,California,Mt. Harlan,Central Coast,Matt Kettmann,@mattkettmann,Calera 2013 Jensen Pinot Noir (Mt. Harlan),Pinot Noir,Calera,2013
4514,4514,US,"The producer's Russian River Valley fruit comes from the Winside Vineyard, planted long ago by Anne Moller-Racke and Joe Nugent. It astounds in this must-have wine, complex and ridiculously velvety in texture. Pepper, clove and cardamom ride huge waves of baked fruit and mocha, with the structure to age through at least 2026, but why wait when it's so delicious now?",Single Vineyard,95,72.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Donum 2013 Single Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Donum,2013
4516,4516,US,"This voluptuously seductive wine is also elegantly balanced. Citrus, wet stone and sea salt lift the minerality to pronounced levels, accented by a crispness of lemon peel and papaya wrapped in blossoming jasmine. Many of the vines on the site date back nearly 40 years, a demonstration that in age there is beauty.",Dutton Ranch,95,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Patz & Hall 2014 Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,Patz & Hall,2014
4517,4517,US,"Bruised strawberries and ripe red plums are leveled by iron, ginger snaps, crushed slate and soy on the umami-laden nose of this bottling by Winemaker Jonathan Nagy. Intriguing river--stone minerality powers the palate, where black plums and olallieberries meet with black spice and lots of florality.",Julia's Vineyard,95,45.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Byron 2013 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Byron,2013
4518,4518,US,"The appellation famous for Pinot Noir and Chardonnay packs a powerfully pretty punch when it comes to this variety, too, showing in this wine a soft, focused layering of Luxardo maraschino cherry and touch of cranberry. It then reveals an underlying richness that rewards the patient with a splash of white and black pepper, leaving an indelible stamp on the palate. Drink now through 2024.",Saitone Ranch,95,47.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2014 Saitone Ranch Zinfandel (Russian River Valley),Zinfandel,Carlisle,2014
4520,4520,US,"Crafted from 12 different clones planted throughout the estate vineyard, farmed to perfection, this is a delicious and exuberant expression of blueberry crumble that's succulent and inviting in every way. Full bodied, it retains enough acidity to remain mouthwatering and yet complex, a subtlety of white pepper and cardamom biting at the its heels. Drink now through 2024.",Wayfarer Vineyard,95,90.0,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2014 Wayfarer Vineyard Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,2014
4521,4521,US,"This is a beautiful display of Durell's greatness, crafted from two blocks of the vineyard, one planted to Old Wente, the other in one of the site's most rocky and windy areas. Combined, it offers well-integrated notions of golden apple, pear and honey amidst a freshness of acidity and unobtrusive oak, just the slightest suggestion of nutmeg-dusted brioche on the finish.",Durell Vineyard Origin,95,48.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Three Sticks 2014 Durell Vineyard Origin Chardonnay (Sonoma Valley),Chardonnay,Three Sticks,2014
4525,4525,US,"Gavin Chanin is expert at showing off individual vineyards, which is most evident in this bottling from a less iconic, larger site. Baked cherry, allspice, raw beef and light bay leaf show on the nose, while the palate carries ripe strawberry and a red-cherry core surrounded by zesty thyme, dill, mint and a touch of green olive. The light yet grippy texture is stunning.",Los Alamos Vineyard,95,50.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Chanin 2014 Los Alamos Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Chanin,2014
4529,4529,US,"Tasting quite sweet and soft, like a raspberry liqueur, this high-alcohol Zinfandel is wrapped in vanilla and cinnamon tones and would be difficult to pair with anything beyond barbecue.",Muy Bueno,82,32.0,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Wood Family Vineyards 2010 Muy Bueno Zinfandel (Livermore Valley),Zinfandel,Wood Family Vineyards,2010
4544,4544,US,"Earthy and very tight after aging 20 months in barrel and another two years in bottle prior to release, this wine's fruit is slipping away, leaving behind only a pruney sourness.",Westside Vineyard,81,25.0,California,Amador County,Sierra Foothills,Virginie Boone,@vboone,Amador Cellars 2006 Westside Vineyard Zinfandel (Amador County),Zinfandel,Amador Cellars,2006
4564,4564,US,"The nose on this bottling is classic for the grape: blackberry, dried lilacs, wet asphalt, beef char and black rocks. The palate is more muddled, with flavors of clay and freshly turned earth, without much spice or fruit to note.",Thérèse Vineyards Dos Niñas Vineyard,85,29.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Martin Ranch 2013 Thérèse Vineyards Dos Niñas Vineyard Syrah (Santa Clara Valley),Syrah,Martin Ranch,2013
4565,4565,US,"The wine was aged in 30% new American oak, and has modest cherry fruit with astringent tannins. There's an underlying earthy flavor, leading into a chalky finish.",Estate,85,32.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Weisinger 2013 Estate Tempranillo (Rogue Valley),Tempranillo,Weisinger,2013
4584,4584,US,"This six-year-old wine is 40% Tempranillo, 40% Carmenère and 20% Cabernet Sauvignon. The Carmenère dominates, pushing stiff, tannic, stemmy flavors into the core. It's not in danger of aging too quickly, but the tannins seem unlikely to soften.",Alchemy,85,32.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,South Stage 2010 Alchemy Red (Rogue Valley),Red Blend,South Stage,2010
4619,4619,US,"Quite light in color, the aromas bring initially locked up but then broadly expansive notes of peat, green olive, white pepper, strawberry, Stargazer lilies, mineral and herb, showing a lot of complexity. The palate is textured, bringing a profound mixture of fruit and savory flavors that intertwine effortlessly on the long finish. It brings a sense of tension, texture and finesse that is completely captivating.",La Paciencia Vineyard,94,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Sean P. Sullivan,@wawinereport,No Girls 2014 La Paciencia Vineyard Grenache (Walla Walla Valley (OR)),Grenache,No Girls,2014
4620,4620,US,"Hearty aromas of black cherry and mulberry meet with rustic iron, dark spice, crushed slate and dried sagebrush on the expertly woven nose of this bottling by a Southern California-based vintner. The palate balances bright acidity with upright tannins, allowing the dark-red fruit and mace spice flavors to shine.",Sequestered,94,40.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Orfila 2014 Sequestered Pinot Noir (Santa Maria Valley),Pinot Noir,Orfila,2014
4621,4621,US,"Juicy and stemmy, this is a big, bold wine, explosive in highlights of huckleberry, dark cherry and forest floor. With firm tannins for days, it offers enviable length and spice along a smooth grippy texture and forceful complexity.",Stanly Ranch,94,62.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Saintsbury 2015 Stanly Ranch Pinot Noir (Carneros),Pinot Noir,Saintsbury,2015
4622,4622,US,"And now for something completely different, this wine explodes in whole-cluster, carbonic freshness and surprise. It's a light cerebral take on the variety that delights at every turn. Stainless-steel fermented and aged, it's loaded in raspberry and cherry-jam flavors and dipped in black licorice. It's fresh, fruity and entirely memorable.",Springloaded Monkey Paw Luc's Vineyard,94,41.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Sheldon 2016 Springloaded Monkey Paw Luc's Vineyard Tempranillo (Sonoma County),Tempranillo,Sheldon,2016
4628,4628,US,"Domaine Drouhin's reserve-level Chardonnay puts new oak flavors front and center but backs them up with ultraripe fruit. A lush mix of tangerine, melon and peach notes combine, expanding across the palate. It's drinking quite well already but should continue improve through 2024.",Édition Limitée,94,65.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Drouhin 2015 Édition Limitée Chardonnay (Dundee Hills),Chardonnay,Domaine Drouhin,2015
4629,4629,US,"Spicy, seductive and stemmy, this wine from the coveted vineyard site is a celebration of baked rhubarb and cranberry. Velvety on the palate and boldly ripe and rich, it offers highlights of spicy black tea and cardamom that complements and complicates the fruit.",Pratt Vineyard,94,62.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Saintsbury 2015 Pratt Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Saintsbury,2015
4634,4634,US,"This is from a tremendous vineyard site near the top of the appellation, situated from 1,250 to 1,800 feet. It incorporates small additions of Zinfandel and Carignane into the whole, a picture of soft beguiling violet aromas that are followed by a velvety texture and underlying grip of tannin. Rich red fruit and a taste of licorice linger on the intense finish.",York Creek Vineyard,94,37.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Elyse 2012 York Creek Vineyard Petite Sirah (Spring Mountain District),Petite Sirah,Elyse,2012
4636,4636,US,"This succulent wine is saturated with rich citrus flavors. Grapefruit, lemon, lime and pineapple notes combine while its 18 months in barrel contributes a layer of buttery toast.",Sigrid,94,95.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Bergström 2015 Sigrid Chardonnay (Willamette Valley),Chardonnay,Bergström,2015
4637,4637,US,"The debut vintage for this cuvée, this is made from 100% Wente clone vines planted in 1977. It's richly concented on the palate, layered with dried apricot, grapefruit and pineapple flavors. A lush, buttery note enwraps its long, satisfying, full-bodied finish.",The High Wire Estate,94,95.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Bethel Heights 2014 The High Wire Estate Chardonnay (Eola-Amity Hills),Chardonnay,Bethel Heights,2014
4639,4639,US,"Floral and surprisingly bright, this wine is driven by sharply etched acidity and citrus—its flavors balanced and complementary. Red cherry and raspberry find companionship in seasonings of cinnamon and clove, the texture slightly leathery and bold.",Limerick Lane Vineyard,94,47.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2015 Limerick Lane Vineyard Zinfandel (Russian River Valley),Zinfandel,Carlisle,2015
4640,4640,US,"Meaty in wild berry and leather, this is a high-toned wine with a gritty texture that evolves to become velvety in the glass. Generously ripe and rich in body, it's intense and fresh in equal measure, showing a complement of balanced brawn and beauty.",Papa's Block,94,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2015 Papa's Block Syrah (Russian River Valley),Syrah,Carlisle,2015
4671,4671,US,"Quite light in aroma at first, this is a delicate, lithe and lovely bottling, showing lemon and yellow pear tones on the nose. That sensibility carries to the palate, where touches of yellow apple, sea salt, faint banana and a shred of bubblegum converge for a complete yet restrained white wine experience.",Vogelzang Vineyard,91,25.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Point & Line 2014 Vogelzang Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Point & Line,2014
4673,4673,US,"The producer's flagship wine, this vintage blends Cabernet Sauvignon, Merlot and Cabernet Franc. Dry tannins provide a leathery texture atop piquant sensibilities of cedar, pencil and chocolate-specked blackberry jam. Structured and full bodied, it'll benefit from further cellaring. Drink now through 2022.",Cambium,91,115.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sequoia Grove 2012 Cambium Red (Napa Valley),Bordeaux-style Red Blend,Sequoia Grove,2012
4675,4675,US,"Single block wines, such as this one, often show a tight focus rather than a broad palate. Here it works well, wrapping savory notes around red currant fruit. There's a lightly metallic ring to the flavors, running straight through the finish. Give this a few hours of decanting, or tuck it away for drinking after 2020.",Goosepen Block,91,80.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Sokol Blosser 2013 Goosepen Block Pinot Noir (Dundee Hills),Pinot Noir,Sokol Blosser,2013
4676,4676,US,"Farmed by the vineyard manager who owns Small Vines, another small Pinot Noir producer, this is a complex, well-crafted wine, high in acidity and high-toned red fruit, like cranberry, pomegranate and cherry, with a wisp of orange peel on their heels. Light-bodied, it finishes with black tea and mushrooms fighting for attention.",Baranoff Vineyard,91,50.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gros Ventre 2013 Baranoff Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Gros Ventre,2013
4680,4680,US,"Refined and complex, this limited-production, vineyard-designate wine starts with lemony acidity, but there's much more to discover as it bores down through the palate. Meyer lemons, grapefruit and nectarines are in the mix, with refreshing minerality.",Antiquum Vineyards,91,24.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,King Estate 2014 Antiquum Vineyards Pinot Gris (Willamette Valley),Pinot Gris,King Estate,2014
4681,4681,US,"Pretty in jasmine, lemon and orange, this is a crisp, dry and lovely wine, integrated with just enough heft on the body and a surprisingly deft length on the finish. Stock up for gatherings.",Grenache,91,18.0,California,North Coast,North Coast,Virginie Boone,@vboone,Kokomo 2015 Grenache Rosé (North Coast),Rosé,Kokomo,2015
4683,4683,US,"Named for a Loire Valley clone, this New World wine aspires to an Old World sensibility and achieves it in its floral invitation and bright, peppery overtones. Coiled within its thickness of tannin and dense cherry are ethereal, earthy whispers of intrigue and acidity. This is a lively, lovely wine.",Two-Fourteen,91,48.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Lang & Reed 2013 Two-Fourteen Cabernet Franc (Napa Valley),Cabernet Franc,Lang & Reed,2013
4684,4684,US,"Clean aromas of honeysuckle converge with richer, rounded components of Asian pear, coconut and pineapple on the nose of this single vineyard expression. There's a caramel touch at the tip of the rich sip, with layers of brown spice, yellow fruit and rocky earth.",Lone Oak Vineyard,91,45.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Lucienne 2013 Lone Oak Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Lucienne,2013
4685,4685,US,"Let this burly, big-boned beauty open to fully enjoy its robust oak and fistfuls of black cherry, the oak showing in terms of toasty, slightly reductive aromas. A smooth texture keeps the wine flowing along a concentrated highway of power and ripeness.",The Flyer,91,59.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacPhail 2013 The Flyer Pinot Noir (Russian River Valley),Pinot Noir,MacPhail,2013
4686,4686,US,"This wine is a bold but well-mannered blockbuster that serves generous helpings of dark color, spicy aromas, concentrated flavors and a luxurious dry texture. It needs full-flavored, rich food to accompany it, and will deliver a lot of pleasure under those circumstances. Best to drink now through 2020.",Freakshow,91,20.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Michael David 2013 Freakshow Cabernet Sauvignon (Lodi),Cabernet Sauvignon,Michael David,2013
4689,4689,US,"Another stunning deal on this annual bottling, this wine is jammy and fruity on the nose with buttered cherries and berry jam, yet layered with baking spice and wet clay minerality. Dried strawberries, black cherries and plums show on the palate, enhanced by a toasted clove, graphite, juniper and forest floor mintiness.",Huntington,91,24.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Pali 2014 Huntington Pinot Noir (Santa Barbara County),Pinot Noir,Pali,2014
4690,4690,US,"The signature bottling from this winery, this very dark blend of 57% Cabernet Sauvignon, 17% Petit Verdot, 13% Malbec, 8% Merlot and 5% Cabernet Franc offers deep black plum and black currant as well as cigar box, smoked beef and caramel on the nose. A blackberry-purée flavor leads the very fruit-driven palate, which is bolstered by black pepper, violet, shaved dark chocolate and espresso bean.",Distraction,91,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pear Valley 2013 Distraction Red (Paso Robles),Bordeaux-style Red Blend,Pear Valley,2013
4691,4691,US,"This wine has jazzy, jammy aromas and ripe blackberry and strawberry flavors, wrapping them in a warm layer of fine-grained tannins and a nice dash of sweet baking spices from aging in oak.",Riker Vineyard,91,40.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Renwood 2013 Riker Vineyard Zinfandel (Amador County),Zinfandel,Renwood,2013
4693,4693,US,"Rounded strawberry, orange peel, tart black raspberry and a touch of juniper pop on the nose of this appellation blend by members of the pioneering Bargetto family. Black plum skins, crushed slate, raspberry juice and fresh-picked thyme show on the palate.",Library Selection Estate,91,40.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2013 Library Selection Estate Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
4694,4694,US,"Floral, pretty and light, this wine was made for porch sitting and all-around relaxing. It never gives up on fruit and complexity, offering a medium body and vibrant acidity around the rose-petaled texture. This is a lovely sipper.",Rosé of,91,19.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Starmont 2015 Rosé of Pinot Noir (Carneros),Pinot Noir,Starmont,2015
4695,4695,US,"The slightest shade of yellowish pink, this wine is a great study of fresh acidity and compelling texture in a rosé. Very slight and soft strawberry and squeezed lemon aromas kick off the experience, followed by light red fruit sliced by tangy kumquat on the palate. The flavors are not particularly complex or unique, but the sip is fascinating.",Rosé of,91,24.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Stephen Ross 2015 Rosé of Pinot Noir (Edna Valley),Pinot Noir,Stephen Ross,2015
4696,4696,US,"Though pale in hue, this is big in flavor. It's a textbook Pinot Noir rosé, sharp, tight and showing deep flavors of rhubarb, rosewater and strawberry fruit. There's exceptional length along with the lovely, fresh fruit flavors.",Pinot Noir,91,25.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Stoller 2015 Pinot Noir Rosé (Dundee Hills),Rosé,Stoller,2015
4697,4697,US,"This is a lovely, full-bodied expression of apple blossom aromas, just-ripe pear and orange Creamsicle, a balanced mix of rich and sublime that remains smooth and silky on the palate with a lingering finish.",Reserve,91,35.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Stonehedge 2014 Reserve Chardonnay (Napa Valley),Chardonnay,Stonehedge,2014
4703,4703,US,"Scents softly suggest rose petals and milk chocolate, leading into a wine that seems to hit a hard stop midpalate. A clear flavor of cold steel resonates against a counterpoint of tart berry fruit.",Oregon,87,22.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Coeur de Terre 2013 Oregon Pinot Noir (Willamette Valley),Pinot Noir,Coeur de Terre,2013
4712,4712,US,"This wine is made from a majority of Cabernet Sauvignon, with tiny additions of Merlot, Malbec and Petit Verdot. A minty, menthol streak is strong on the nose, veering into almost eucalyptus, while dried herb and a shot of gunpowder provide additional savory aromas and flavors. Big tannins need time in the glass to mellow.",Reserve,87,90.0,California,Mount Veeder,Napa,Virginie Boone,@vboone,Mount Veeder 2012 Reserve Red (Mount Veeder),Bordeaux-style Red Blend,Mount Veeder,2012
4718,4718,US,"This wine comes from Alexander Valley-grown Malbec, a variety the producer has been planting in earnest over the last few years. Dark pink-red, it is medium bodied and refreshing, with notes of cherry, blueberry and vanilla.",Rosé of,87,25.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Rodney Strong 2014 Rosé of Malbec (Sonoma County),Malbec,Rodney Strong,2014
4730,4730,US,"An earthy, leathery, spicy nose dominates this 100% Cabernet from 17-year-old vines. This is an elegant, complex, earthy wine, beautifully balanced with classic cassis laced with leather, barnyard, coffee, smoke and spice. 180 cases made.",Seven Hills Vineyard Reserve,91,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Reserve Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills,1997
4731,4731,US,"A much more concentrated version of the regular bottling. The fruit is still raspberries and cherries, but there is more focus and power, and it’s wrapped in smooth milk chocolate. A flat-out delicious bottle of Merlot.",Reserve,90,45.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Canoe Ridge 1998 Reserve Merlot (Columbia Valley (WA)),Merlot,Canoe Ridge,1998
4734,4734,US,"Harvested at a lip-smacking 42.5° brix, this seductive wine explodes on the palate with bright grapefruit and citrus flavors, highlighted with sharp acids and finishing with lingering notes of caramel and butter. Long and delicious.",Late Harvest,90,23.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Chateau Ste. Michelle 1997 Late Harvest Sémillon (Columbia Valley (WA)),Sémillon,Chateau Ste. Michelle,1997
4735,4735,US,"The effusive, floral, fragrant nose opens into phenomenal tangerine and satsuma orange flavors, enlivened with spice and a wonderful, refreshing mouthfeel (from barrel fermentation). Best Buy.",Oak Ridge Vineyard,90,12.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Canoe Ridge 1999 Oak Ridge Vineyard Gewürztraminer (Washington),Gewürztraminer,Canoe Ridge,1999
4737,4737,US,"This David Lake Signature Series wine blends two different clones, Sangiovese Piccolo and Sangiovese Grosso, and starts with a lovely, complex bouquet of rose petals, strawberry, watermelon, cherry and cocoa. It's supple, elegant and graceful, with pretty accents and subtle spicy highlights nicely spaced across the palate. A delicate, sensuous wine.",Red Willow Vyd,90,18.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Columbia Winery 1998 Red Willow Vyd Sangiovese (Yakima Valley),Sangiovese,Columbia Winery,1998
4740,4740,US,"This clear and bright cranberry-red wine sports a pungent nose with spice, cranberry, mocha and light cherry scents and flavors. Shows some interesting herbal nuances of thyme and oregano. Good focus in a fruit-forward style; tight and delicious with a pretty finish.",Ciel du Cheval,90,23.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Andrew Will 1999 Ciel du Cheval Sangiovese (Yakima Valley),Sangiovese,Andrew Will,1999
4742,4742,US,"The big, powerful nose showcases blackberry, plum and brambly components. This tight, tannic, nicely constructed, ageworthy Cabernet features dark licorice streaks running through the long finish.",Klipsun Vineyard,90,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Klipsun Vineyard Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Seven Hills,1997
4744,4744,US,"Spice and melons illuminate the nose; the wine displays amazing concentration, with deep, syrupy peach and apricot fruit, and a bit of sugar and toasted coconut in the finish. Good acid balance. It's still very young, but immediately delicious.",Ice Wine,90,19.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Kiona 1999 Ice Wine Chenin Blanc (Yakima Valley),Chenin Blanc,Kiona,1999
4751,4751,US,"The lovely, lushly fruity nose features plenty of buttery, roasted walnut scents from new oak fermentation. Despite the oak, it retains its freshness and acid balance, keeping it lively through a long, toasty finish.",Otis Vineyard,89,50.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Columbia Winery 1998 Otis Vineyard Chardonnay (Yakima Valley),Chardonnay,Columbia Winery,1998
4753,4753,US,"Blended with a small amount of Merlot (10%), this wine sends up a classic bouquet of cassis and berry, with a nice hint of mint. It’s well crafted, but tight and a little hard yet, especially in the finish. Built for aging.",Seven Hills Vineyard,89,25.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Seven Hills,1997
4754,4754,US,"Blueberries, plums, and especially cherries, with a lovely, soft, beguiling bouquet of rose blossoms and chocolate. Crisply structured, with tight fruit, soft tannins, and a medium-weight, extended finish.",Seven Hills Vineyard,89,25.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 1997 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills,1997
4805,4805,US,"A value-driven Cabernet to be sure and one, under the Conservancy mantra, that serves to raise funds to protect vineyard land from urban development. This vintage is full, with baked plum and earthy flavors, even-handed overall, with a hint of green bean on the finish.",Conservancy,85,18.0,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Concannon 2009 Conservancy Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Concannon,2009
4829,4829,US,"Just a splash of Chenin Blanc has been added to the blend, adding some lift to the aromas and suggestions of citrus blossom. The natural herbaceousness of Sauvignon Blanc has been kept in check, but the wine is clean and varietal. The flavors seem just a bit muted, almost thin, but it's a perfectly refreshing, if simple effort.",Quail Series,85,9.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Covey Run 2006 Quail Series Fumé Blanc (Columbia Valley (WA)),Fumé Blanc,Covey Run,2006
4837,4837,US,"Orange, nectarine, canned pear and honeysuckle show on the nose of this quaffable bottling. The palate is nicely creamy but not overly thick, with banana cream and pear-mousse flavors that grow increasingly tropical as the sip lingers.",Pear Valley Vineyard,87,21.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pear Valley 2014 Pear Valley Vineyard Viognier (Paso Robles),Viognier,Pear Valley,2014
4862,4862,US,"Made in a thick, oaky style, this shows burned caramel, fudge and hints of dried mint and oregano on the nose. The palate is rich with blueberry and dark chocolate, wrapped in a veil of oak smoke, with chunky, chewy tannins and a purple-flower nuance.",Lone Tree,87,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Hearst Ranch 2013 Lone Tree Cabernet Franc (Paso Robles),Cabernet Franc,Hearst Ranch,2013
4865,4865,US,"Made from vines well over 100 years old on the Kunde Estate, this wine is tight and youthful in dry, dusty and grippy tannin, with thick, extracted flavors of red berry and cherry. A streak of pencil lead and fig provides further intrigue and complexity around a full-bodied elegance.",Reserve Century Vines,87,50.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Kunde 2013 Reserve Century Vines Zinfandel (Sonoma Valley),Zinfandel,Kunde,2013
4867,4867,US,"Very deep black plum, smashed red berries, concentrated cola and coffee liqueur aromas entice the nose on this blend of 40% Cabernet Franc, 40% Zinfandel and 20% Grenache. It's very spicy and lively on the palate with an almost biting, explosive acidity. Flavors of espresso and deep red fruits are noticeable.",Aeolus Estate,87,50.0,California,Temecula,South Coast,Matt Kettmann,@mattkettmann,Gershon Bachus 2008 Aeolus Estate Red (Temecula),Red Blend,Gershon Bachus,2008
